NAME                     READY   STATUS    RESTARTS   AGE   IP             NODE                 NOMINATED NODE   READINESS GATES
myapp-794449dc99-bdvw9   1/1     Running   0          59s   10.244.0.243   kind-control-plane   <none>           <none>
myapp-794449dc99-gdxv4   1/1     Running   0          59s   10.244.0.244   kind-control-plane   <none>           <none>
myapp-794449dc99-gdxv4   1/1     Terminating   0          2m33s   10.244.0.244   kind-control-plane   <none>           <none>
myapp-794449dc99-bdvw9   1/1     Terminating   0          2m34s   10.244.0.243   kind-control-plane   <none>           <none>
myapp-794449dc99-gdxv4   0/1     Terminating   0          2m40s   10.244.0.244   kind-control-plane   <none>           <none>
myapp-794449dc99-gdxv4   0/1     Terminating   0          2m40s   10.244.0.244   kind-control-plane   <none>           <none>
myapp-794449dc99-gdxv4   0/1     Terminating   0          2m40s   10.244.0.244   kind-control-plane   <none>           <none>
myapp-794449dc99-bdvw9   0/1     Terminating   0          2m41s   10.244.0.243   kind-control-plane   <none>           <none>
myapp-794449dc99-bdvw9   0/1     Terminating   0          2m41s   10.244.0.243   kind-control-plane   <none>           <none>
myapp-794449dc99-bdvw9   0/1     Terminating   0          2m41s   10.244.0.243   kind-control-plane   <none>           <none>
myapp-794449dc99-dlw2p   0/1     Pending       0          0s      <none>         <none>               <none>           <none>
myapp-794449dc99-9qw5f   0/1     Pending       0          0s      <none>         <none>               <none>           <none>
myapp-794449dc99-dlw2p   0/1     Pending       0          0s      <none>         kind-control-plane   <none>           <none>
myapp-794449dc99-9qw5f   0/1     Pending       0          0s      <none>         kind-control-plane   <none>           <none>
myapp-794449dc99-dlw2p   0/1     ContainerCreating   0          0s      <none>         kind-control-plane   <none>           <none>
myapp-794449dc99-9qw5f   0/1     ContainerCreating   0          0s      <none>         kind-control-plane   <none>           <none>
myapp-794449dc99-dlw2p   1/1     Running             0          3s      10.244.0.245   kind-control-plane   <none>           <none>
myapp-794449dc99-9qw5f   1/1     Running             0          3s      10.244.0.246   kind-control-plane   <none>           <none>
myapp-794449dc99-9qw5f   1/1     Terminating         0          2m54s   10.244.0.246   kind-control-plane   <none>           <none>
